iter	Passed	Remaining
0	197	197032
1	207	103773
2	218	72656
3	227	56744
4	234	46751
5	240	39888
6	246	34966
7	251	31152
8	255	28092
9	260	25794
10	264	23796
11	269	22152
12	273	20747
13	277	19551
14	281	18497
15	285	17558
16	289	16731
17	293	16003
18	297	15342
19	301	14750
20	304	14209
21	308	13732
22	312	13295
23	317	12893
24	321	12536
25	325	12203
26	330	11893
27	334	11601
28	338	11325
29	342	11065
30	346	10822
31	349	10585
32	353	10371
33	357	10161
34	361	9967
35	365	9789
36	369	9613
37	373	9451
38	377	9300
39	381	9153
40	385	9017
41	389	8882
42	393	8751
43	397	8630
44	401	8512
45	404	8397
46	408	8290
47	412	8189
48	416	8091
49	420	7991
50	424	7899
51	428	7810
52	432	7726
53	436	7645
54	440	7565
55	444	7490
56	448	7415
57	452	7343
58	456	7273
59	460	7208
60	464	7149
61	468	7089
62	472	7026
63	476	6968
64	480	6905
65	483	6848
66	487	6791
67	491	6736
68	495	6683
69	498	6629
70	502	6578
71	506	6529
72	510	6480
73	514	6432
74	517	6384
75	521	6339
76	525	6295
77	529	6254
78	533	6215
79	537	6179
80	541	6139
81	544	6099
82	548	6061
83	552	6023
84	556	5986
85	559	5950
86	563	5915
87	567	5880
88	571	5846
89	574	5812
90	578	5780
91	582	5748
92	586	5716
93	590	5686
94	593	5656
95	597	5626
96	601	5598
97	605	5570
98	609	5543
99	612	5515
100	616	5490
101	620	5465
102	624	5439
103	628	5413
104	633	5396
105	637	5374
106	641	5353
107	645	5334
108	649	5310
109	654	5292
110	658	5271
111	662	5250
112	666	5229
113	670	5207
114	673	5184
115	677	5164
116	681	5142
117	685	5121
118	688	5100
119	692	5080
120	696	5061
121	700	5042
122	704	5023
123	708	5003
124	712	4984
125	715	4965
126	719	4949
127	723	4931
128	727	4913
129	732	4900
130	736	4883
131	740	4866
132	743	4848
133	747	4830
134	752	4821
135	756	4805
136	760	4790
137	764	4773
138	767	4756
139	771	4740
140	775	4727
141	779	4712
142	784	4699
143	788	4685
144	791	4668
145	795	4653
146	798	4636
147	802	4619
148	805	4603
149	809	4588
150	813	4573
151	817	4558
152	820	4543
153	824	4530
154	828	4516
155	831	4501
156	835	4486
157	839	4471
158	842	4458
159	846	4444
160	850	4430
161	853	4416
162	857	4404
163	861	4389
164	864	4376
165	868	4363
166	872	4352
167	876	4339
168	879	4326
169	883	4313
170	886	4299
171	890	4287
172	894	4276
173	898	4264
174	901	4251
175	905	4238
176	909	4226
177	912	4214
178	916	4203
179	920	4191
180	924	4181
181	927	4170
182	931	4158
183	935	4147
184	938	4134
185	942	4124
186	946	4113
187	949	4102
188	953	4092
189	957	4081
190	960	4069
191	964	4059
192	968	4050
193	972	4040
194	976	4030
195	979	4019
196	983	4009
197	987	4000
198	991	3989
199	995	3980
200	998	3970
201	1002	3961
202	1006	3953
203	1010	3944
204	1014	3934
205	1018	3925
206	1022	3915
207	1026	3907
208	1031	3902
209	1035	3896
210	1040	3889
211	1044	3883
212	1050	3879
213	1054	3874
214	1059	3869
215	1065	3866
216	1070	3862
217	1075	3858
218	1081	3856
219	1087	3854
220	1092	3849
221	1099	3853
222	1104	3848
223	1111	3848
224	1117	3849
225	1122	3844
226	1129	3845
227	1134	3841
228	1140	3839
229	1146	3837
230	1152	3836
231	1158	3836
232	1164	3833
233	1171	3834
234	1177	3832
235	1183	3830
236	1190	3833
237	1197	3833
238	1202	3829
239	1207	3824
240	1212	3819
241	1219	3818
242	1224	3814
243	1230	3811
244	1236	3811
245	1242	3808
246	1248	3804
247	1253	3802
248	1259	3798
249	1265	3796
250	1270	3791
251	1275	3787
252	1281	3784
253	1287	3780
254	1293	3779
255	1300	3779
256	1306	3776
257	1313	3777
258	1319	3774
259	1326	3774
260	1332	3772
261	1338	3771
262	1345	3770
263	1351	3767
264	1358	3767
265	1363	3762
266	1370	3761
267	1376	3759
268	1382	3756
269	1390	3760
270	1397	3760
271	1404	3758
272	1410	3756
273	1416	3754
274	1422	3750
275	1430	3751
276	1435	3748
277	1442	3746
278	1448	3742
279	1455	3742
280	1461	3738
281	1467	3736
282	1474	3736
283	1480	3733
284	1487	3732
285	1493	3728
286	1500	3726
287	1506	3724
288	1512	3720
289	1519	3719
290	1524	3714
291	1531	3712
292	1538	3711
293	1544	3709
294	1551	3707
295	1556	3701
296	1563	3700
297	1569	3697
298	1574	3691
299	1581	3690
300	1586	3685
301	1593	3681
302	1598	3677
303	1604	3674
304	1612	3674
305	1618	3670
306	1625	3669
307	1632	3667
308	1639	3666
309	1648	3668
310	1655	3667
311	1662	3666
312	1669	3665
313	1677	3664
314	1684	3662
315	1690	3659
316	1696	3654
317	1702	3651
318	1708	3647
319	1715	3645
320	1721	3641
321	1728	3640
322	1735	3637
323	1741	3633
324	1748	3631
325	1754	3628
326	1762	3626
327	1767	3621
328	1773	3616
329	1780	3615
330	1786	3611
331	1794	3610
332	1800	3605
333	1806	3602
334	1812	3598
335	1818	3594
336	1825	3591
337	1831	3586
338	1838	3585
339	1845	3582
340	1853	3581
341	1859	3577
342	1865	3572
343	1873	3572
344	1881	3571
345	1888	3569
346	1894	3565
347	1902	3563
348	1908	3559
349	1915	3557
350	1921	3552
351	1927	3548
352	1933	3543
353	1940	3540
354	1946	3536
355	1951	3530
356	1957	3525
357	1961	3518
358	1966	3512
359	1971	3505
360	1977	3499
361	1981	3492
362	1986	3486
363	1991	3480
364	1997	3474
365	2001	3466
366	2005	3458
367	2009	3451
368	2014	3444
369	2019	3438
370	2023	3431
371	2027	3423
372	2032	3416
373	2037	3410
374	2041	3403
375	2046	3396
376	2050	3388
377	2055	3381
378	2059	3374
379	2063	3367
380	2068	3361
381	2073	3353
382	2077	3347
383	2081	3339
384	2085	3331
385	2089	3323
386	2093	3315
387	2097	3307
388	2100	3299
389	2104	3292
390	2108	3283
391	2112	3276
392	2116	3268
393	2120	3260
394	2124	3253
395	2127	3245
396	2132	3238
397	2136	3232
398	2141	3225
399	2145	3218
400	2149	3211
401	2154	3204
402	2159	3198
403	2163	3191
404	2167	3184
405	2171	3176
406	2175	3169
407	2179	3162
408	2183	3155
409	2187	3148
410	2191	3140
411	2195	3132
412	2199	3125
413	2203	3118
414	2207	3111
