Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type,Machine failure,TWF,HDF,PWF,OSF,RNF
302.36350994214644,310.8552125287415,1144.5351275570617,41.16550125433344,67.0752212287544,L,0,0,0,0,0,0
297.64393125160274,311.065721454804,1786.4453479141198,33.76177358923899,-10.337687116693942,L,0,0,0,0,0,0
302.16030813448134,312.226003189055,1556.3610523883997,37.56190921633684,13.563713019306292,M,0,0,0,0,0,0
301.01532732008747,310.1751615791602,1677.3305681143058,40.34079172111901,38.188014859508215,M,0,0,0,0,0,0
303.3095690386127,310.32362147778696,1545.5959639934756,50.71581262031148,210.11182219078376,H,0,0,0,0,0,0
298.88827506715177,310.6719615410013,1642.3740547291984,44.09754343366465,67.09862202388092,M,0,0,0,0,0,0
302.5697609401435,310.2833605240204,1201.5849294436264,34.36754815881161,70.96222216594104,M,0,0,0,0,0,0
300.8503586544968,308.74642577531284,1842.9458868454246,39.16205883267656,98.48077033204368,H,0,0,0,0,0,0
300.45450000327554,308.0463742564139,1423.82157068396,48.9749703612162,123.61445716626216,M,0,0,0,0,0,0
299.5596208823034,310.2672810203541,1815.175951390176,38.82124153469528,176.55226788514864,L,0,0,0,0,0,0
298.590816555059,308.82358638866515,1431.4912580052082,55.60968929953692,108.00247998158665,M,0,0,0,0,0,0
301.6108136565754,311.5381478575614,1712.7855958542916,52.2105023766083,108.00924507143124,M,0,0,0,0,0,0
298.7778516478083,307.40908052225103,1602.8554989027846,34.15928921123111,64.22217251590227,L,0,0,0,0,0,0
300.01969647168727,309.2551663613673,1903.7573653974162,50.90836673666668,26.024921318413547,M,0,0,0,0,0,0
302.3158405229864,309.1866254853898,1722.2184527250067,45.18519746748812,111.59261479956054,M,0,0,0,0,0,0
300.0773436518635,306.06505450537804,1236.1797676972374,19.99199721611993,112.31648300501652,M,0,0,0,0,0,0
303.13453985261185,310.1987898166849,1555.8078382587566,51.80220074535444,44.72109019128437,L,0,0,0,0,0,0
301.78287108294415,310.3753944499499,1991.180645569274,60.16172324345777,182.008026349021,L,0,0,0,0,0,0
301.90781539708064,308.58153511943857,1523.2538585938648,42.80520142049831,125.06410457655956,L,0,0,0,0,0,0
303.07910828671396,310.0852928978363,1541.7558057050828,50.75061457770303,104.36102372977771,M,1,1,0,0,0,0
301.47354824534943,310.70666960253305,1407.6611899987402,42.703380824026425,188.40235322884297,M,0,0,0,0,0,0
299.3243299376781,309.6768778855756,1684.3869814658797,38.58556278384029,52.37493545147273,M,0,0,0,0,0,0
298.63581195668627,310.73076805089624,1630.3462241634388,45.57307957118597,85.9721982181568,M,0,0,0,0,0,0
302.1345595069262,309.2849903605742,1538.7769397626582,46.6210321073473,154.9029970482234,H,0,0,0,0,0,0
303.0006294529171,309.8181380433304,1672.6109502579598,48.81588035279752,136.58094682352467,M,0,0,0,0,0,0
301.7789346717846,310.1938945157585,1725.979946953404,47.35282991835219,89.40679359729307,M,0,0,0,0,0,0
298.41560165563476,311.60789787918134,1404.6882547506991,55.59805207496255,84.2880984913647,M,0,0,0,0,0,0
295.93914248693113,309.86394325418564,1512.489968528483,55.23054834262484,113.06576480137988,L,0,0,0,0,0,0
300.8853408979748,313.83460573534904,1870.4507724588145,47.43817817983181,179.1658220836867,H,0,0,0,0,0,0
302.5593737115133,310.42531284648067,1806.2035782863056,32.35080744026968,154.62221016311423,L,0,0,0,0,0,0
299.9967732481915,312.9661347334374,1239.110112948793,42.75894863876618,89.33508883583156,M,1,0,1,0,0,0
300.9109988567619,311.18672149022217,1992.4696221600088,37.54485511583125,102.41383829226857,L,0,0,0,0,0,0
300.8903904118966,310.6724846998817,1489.152348837264,37.09808179383139,133.193980090559,M,0,0,0,0,0,0
300.15153844526617,306.4360609548016,1447.5066389064955,46.33815824171639,162.31355006656526,M,0,0,0,0,0,0
299.73077862285214,309.61301038992303,1495.5812939856412,56.91374902547575,140.6582968619182,H,0,0,0,0,0,0
299.63803109165303,310.1079643125606,1422.2304564911017,42.80132389033652,70.16042568589796,H,1,0,0,0,1,0
