Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type,Machine failure,TWF,HDF,PWF,OSF,RNF
301.9571183575505,310.8552125287415,1126.02793306359,41.16550125433344,67.0752212287544,L,0,0,0,0,0,0
296.6059848695722,311.065721454804,1706.047953062352,33.76177358923899,-10.337687116693942,L,0,0,0,0,0,0
300.68951329378746,312.226003189055,1617.7707324189348,37.561909216336836,13.563713019306292,M,0,0,0,0,0,0
299.47233773987455,310.1751615791602,1564.8970311591643,40.340791721119004,38.188014859508215,M,0,0,0,0,0,0
302.47409622296016,310.32362147778696,1538.5687876172906,50.715812620311475,210.11182219078376,H,0,0,0,0,0,0
298.0840021270315,310.6719615410013,1537.9949486750993,44.09754343366465,67.09862202388092,M,0,0,0,0,0,0
301.9584178495909,310.2833605240204,1290.322070093766,34.36754815881161,70.96222216594104,M,0,0,0,0,0,0
299.51369029864946,308.74642577531284,1819.7105776127667,39.162058832676564,98.48077033204368,H,0,0,0,0,0,0
299.3652507202296,308.0463742564139,1418.779739592766,48.9749703612162,123.61445716626216,M,0,0,0,0,0,0
299.0426459639,310.2672810203541,1851.6464306218325,38.821241534695275,176.55226788514864,L,0,0,0,0,0,0
297.89419130457844,308.82358638866515,1500.4194926019686,55.60968929953692,108.00247998158663,M,0,0,0,0,0,0
300.61962339964373,311.5381478575614,1665.9548299639594,52.2105023766083,108.00924507143125,M,0,0,0,0,0,0
298.397584179164,307.40908052225103,1648.34092009661,34.15928921123111,64.22217251590227,L,0,0,0,0,0,0
298.9431642090542,309.2551663613673,1766.352664279026,50.90836673666668,26.024921318413547,M,0,0,0,0,0,0
302.2280715034794,309.1866254853898,1593.7625670135535,45.18519746748812,111.59261479956054,M,0,0,0,0,0,0
298.73877749511064,306.06505450537804,1290.644660998532,19.991997216119934,112.31648300501652,M,0,0,0,0,0,0
301.1705377207273,310.19878981668495,1492.8801913317668,51.80220074535444,44.72109019128437,L,0,0,0,0,0,0
299.6686114709119,310.3753944499499,1907.102016426657,60.16172324345777,182.008026349021,L,0,0,0,0,0,0
300.64957467005905,308.58153511943857,1455.692126072423,42.80520142049831,125.06410457655957,L,0,0,0,0,0,0
301.8619977435194,310.0852928978363,1565.4676039403716,50.75061457770303,104.36102372977771,M,1,1,0,0,0,0
300.03285345599875,310.70666960253305,1475.3029334762382,42.703380824026425,188.40235322884297,M,0,0,0,0,0,0
297.5646346387489,309.6768778855756,1604.6510145560474,38.58556278384029,52.37493545147273,M,0,0,0,0,0,0
297.4389956942639,310.73076805089624,1588.306971864909,45.57307957118597,85.9721982181568,M,0,0,0,0,0,0
300.62109618051653,309.2849903605742,1563.481881142294,46.621032107347304,154.9029970482234,H,0,0,0,0,0,0
301.64931907096184,309.8181380433304,1599.1568309193806,48.81588035279752,136.58094682352467,M,0,0,0,0,0,0
301.492571128443,310.1938945157585,1649.7348573035035,47.35282991835219,89.40679359729307,M,0,0,0,0,0,0
296.78666076406375,311.60789787918134,1458.9249923818315,55.598052074962546,84.2880984913647,M,0,0,0,0,0,0
295.37050060503793,309.86394325418564,1553.8672961154873,55.230548342624836,113.06576480137987,L,0,0,0,0,0,0
300.2040145674978,313.83460573534904,1811.6916259893148,47.43817817983181,179.1658220836867,H,0,0,0,0,0,0
301.6373303171509,310.42531284648067,1665.9837639140683,32.350807440269676,154.62221016311423,L,0,0,0,0,0,0
299.63928943136517,312.9661347334374,1191.7911207635939,42.75894863876618,89.33508883583156,M,1,0,1,0,0,0
301.1073586570481,311.18672149022217,1849.9899193910283,37.544855115831254,102.41383829226857,L,0,0,0,0,0,0
300.1637098494099,310.6724846998817,1570.6150119523704,37.09808179383139,133.193980090559,M,0,0,0,0,0,0
299.36712128649935,306.4360609548016,1518.0477525028468,46.338158241716386,162.31355006656526,M,0,0,0,0,0,0
297.70259137923813,309.61301038992303,1583.0748602642864,56.91374902547575,140.6582968619182,H,0,0,0,0,0,0
299.4967597743355,310.1079643125606,1579.8638116040845,42.80132389033652,70.16042568589796,H,1,0,0,0,1,0
301.99104235859386,310.00185917049566,1564.8520717425097,41.79244433228146,106.0993295727751,M,0,0,0,0,0,0
300.4625079990353,308.4864134336479,1670.058821096337,41.69220233103074,48.975672978163196,L,0,0,0,0,0,0
302.7527971957959,308.83630425279125,1294.5767541719358,48.12925762797826,78.33444227031603,M,0,0,0,0,0,0
300.5627984404731,307.90808349207975,1505.0874244575239,49.491920842650075,205.1030805007004,M,0,0,0,0,0,0
297.4406236253799,310.3066362991447,1660.9062533731735,34.982033099739525,94.39494072820125,M,0,0,0,0,0,0
299.3177995752998,308.6144216910143,1541.051434437342,37.576815521115805,143.9252497873841,M,0,0,0,0,0,0
298.96742156003586,307.5828658408036,1483.6347549763295,45.24811239085693,110.47890284879288,L,0,0,0,0,0,0
